座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
10C,飛倉の彩槌・弐,殴打,790,,0,0,糸好き +1,,,4,韋駄天 4%,,,1000,角走の鋭角,5,角走の飛膜,1,飼い獣の輝殻,4,鉱石の塊,4
10E,夏椿の機槌・弐,殴打,510,風,320,0,回復強化 20%,天運 10%,,4,衝撃波 15%,,,1000,姫鶏冠の山冠,3,姫鶏冠の鋭爪,3,飼い獣の実,4,鉱石,18
10G,八咫砕き,刺突,823,,0,5,からくり連携・癒 +20,,,4,会心の達人 5%,,,2000,白纏の長尾羽,2,白纏の宝珠,3,巨獣の玉石,5,大きな鉱石,5
10H,琥珀の戦槌,殴打,738,,0,0,一点集中 30%,[獣道]闘志 10%,,4,[獣道皆伝]捨て身 15%,,,1000,琥珀主の叢髭,2,琥珀主の輝硬液,5,琥珀主の爪,2,大きな鉱石,2
10J,山茶花の閃槌,殴打,537,樹,320,0,軽功転戦 15%,,,4,回復強化 10%,,,2000,鬼鶏冠の咲冠,3,鬼鶏冠の尾羽,4,鬼鶏冠の花嘴,2,大きな鉱石,2
10K,吾妻の機槌,殴打,803,,0,-20,睡眠使い 10%,機術の体幹 12%,,4,機術の回収,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10O,嶺颪破り,斬撃,876,,0,10,天運 10%,,,4,樹の弱体術 15%,,,2000,屍荒の爪,4,屍荒の長尻尾,3,屍荒の棘皮,2,鉱石,10
10Q,山荒の機槌,殴打,583,土,320,0,受け身術,納刀術 50%,,4,韋駄天 4%,,,2000,屍荒の鋭棘毛,3,屍荒の棘皮,2,巨獣の玉石,3,鉱石,10
11E,金烏の彩槌,殴打,540,風,320,10,掴み上手 13%,,,4,会心連鎖 12%,,,2000,白纏の鋭翼,3,白纏の宝珠,3,芯石,15,,
11G,逢魔砕き,刺突,1018,,0,10,納刀強化・守 10%,,,4,展開痛打 6%,,,2000,黒纏の尖嘴,3,黒纏のあばら岩,1,巨獣の光粉,5,大きな鉱石,5
11H,寒椿の機槌,殴打,743,,0,0,掴み上手 13%,[活人]剛腕・癒 +100,,4,[活人]一気呵成・会心 30%,,,2000,鬼鶏冠の咲冠,4,鬼鶏冠の鋭爪,4,巨獣の花弁,5,大きな鉱石,2
11J,はりがねの彩槌,殴打,570,樹,320,0,[活人皆伝]剛腕・躰 20%,,,4,一笠一杖 12%,,,2000,笠宿子の皮,4,笠宿の肉厚柄,3,笠宿の髭,2,鉱石,10
11K,吾妻の機槌・弐,殴打,760,,0,0,剛腕・糸 +12,受身上手 25%,,4,破壊術 15%,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
11Q,此岸の機槌,殴打,751,土,400,0,切り出し上手,剛腕・糸 +12,,4,巧手の妙・攻 6%,,,2000,彼岸走の花爪,2,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石の塊,4
12A,水仙の彩槌,殴打,714,水,400,0,凍結使い 10%,,,4,飛ばしの達人,,,2000,彼岸走の花角,3,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石,9
12C,天狼槌 玉屑,殴打,862,,0,25,剛腕・心 20%,[活人]一気呵成・会心 40%,,4,会心強化・攻 4%,,,2000,羅雪の凍氷柱,4,羅雪の流氷尾,2,巨獣の光粉,5, 大きな鉱石,4
12E,夜啼きの彩槌,殴打,701,風,400,0,急制動 30%,,,4,余裕 3%,,,2000,黒纏の爪,3,黒纏の鋭翼,1,黒纏の長尾羽,3,鉱石,5
12G,月下の機槌,殴打,1018,,0,10,毒使い 10%,納刀術 50%,,4,急制動 7%,,,2000,黒纏の皮,3,黒纏の猛毒岩肺,2,黒纏のあばら岩,1,鉱石,5
12H,凍晶砕き,刺突,1098,,0,5,破壊術 40%,,,4,急制動 7%,,,2000,城穿槌の尖氷樹,2,城穿槌の尻尾,3,城穿槌の蹄,2,鉱石,5
12J,空槌 シャッコウ,殴打,720,樹,400,0,巧手の妙・攻 10%,,,4,追い討ち 8%,,,2000,天照守の樹皮,4,天照守の魔爪,4,巨獣の精油,5,大きな鉱石,2
12K,猩々緋の獄槌・弐,殴打,1218,,0,0,展開痛打 15%,[獣道皆伝]報復 20%,,4,豪打強化・攻 8%,,,2000,地獄猿の鋭牙,5,地獄猿の皮,3,カニの苔藻,5,鉱石の塊,5
12M,藍瑠璃の獄槌,殴打,580,火,480,20,展開痛打 15%,炎上使い 10%,,4,展開錬磨,,,2000,浄土猿の牙,3,浄土猿の皮,5,浄土猿の熱溶岩,3,大きな鉱石,6
12O,鳳槌 大破砕,殴打,1103,,0,0,からくり連携・癒 +20,飛鳥の守護 15%,,4,霞落とし 6%,,,2000,天照守の背幹,3,天照守の魔角,2,天照守の魔嘴,1,大きな鉱石,2
12Q,瑪瑙の機槌,殴打,758,土,400,0,回復強化 20%,機術の体幹 15%,,4,急制動 7%,,,2000,地鳴荒の岩牙,2,地鳴荒の尻尾,2,地鳴荒の棘皮,1,鉱石,20
13B,垂氷の戦槌,殴打,836,水,560,0,一点集中 30%,受け身術,,4,見切りの極意 5%,,,3000,城穿槌の冷牙,5,城穿槌の角,4,巨獣の玉石,3,芯石,20
13F,嵐槌 青鬼,殴打,1300,,0,0,一点集中 30%,巧手の妙・攻 10%,,4,[獣道]反転攻勢 5%,,,4000,嵐金の天衣,2,嵐金の黄金爪,4,嵐金の黄金髭,1,鉱石の塊,6
13I,樹霜の戦槌,殴打,825,樹,560,0,宿り木使い 10%,[活人皆伝]仲間思い,,4,[活人皆伝]剛腕・守 38%,,,3000,城穿槌の尖氷樹,2,城穿槌の蹄,2,巨獣の玉石,3,大きな鉱石,5
13L,焔槌 久那斗,殴打,1320,,0,5,霞落とし 10%,見切りの極意 10%,,4,剛腕・心 6%,,,4000,不知火の焔冠,4,不知火の焔爪,5,不知火の焔嘴,1,鉱石の塊,6
12O,珪砂破り,斬撃,1111,,0,20,剛腕・心 20%,[獣道]捲土重来・守 10%,,4,[獣道皆伝]鷹の目 10%,,,2000,地鳴荒の岩爪,2,地鳴荒の針棘,2,地鳴荒の尻尾,3,大きな鉱石,8
14A,飛槌 花鳥風月・伍,殴打,1150,,0,0,目利き 10%,採取術 10%,,4,豪打強化・攻 8%,,,2000,飼い獣の尾羽,4,ワタムシの綿毛,3,カガチの浮き胞,6,大きな鉱石,15
14B,霜槌 吹雪柄,斬撃,770,水,560,5,凍結使い 10%,会心連鎖 20%,,4,再利用 15%,,,3000,羅雪の冷毛,3,羅雪の冷牙,2,羅雪の不凍水,2,大きな鉱石,4
13F,宝槌 ショウロウ,殴打,903,,560,0,飛ばしの達人,機術の回収,,4,余裕 3%,,,4000,嵐金の剛皮,3,嵐金の尻尾,4,嵐金の黄金髭,1,鉱石の塊,6
14I,空槌 シャッコウ・弐,殴打,840,樹,560,0,急制動 30%,回復強化 20%,,4,からくり連携・攻 6%,,,3000,天照守の樹皮,4,天照守の魔羽,2,巨獣の精油,10,大きな鉱石,5
14L,焔槌 久那斗・弐,殴打,900,火,560,0,展開錬磨,豪打強化・攻 20%,,4,[活人]威風ノ構 10%,,,4000,不知火の翼羽,4,不知火の尾羽,4,不知火の焔嘴,1,鉱石の塊,6
14P,獄槌 羅生門,殴打,856,土,560,0,展開痛打 15%,からくり連携・攻 10%,,4,展開錬磨,,,3000,浄土猿の熱溶岩,2,浄土猿の髭,1,巨獣の煤炭,5,鉱石の塊,2
16E,アマツマラ,殴打,1300,,0,0,追い討ち 25%,[活人皆伝]一寸の光陰 30%,,4,衝撃波 15%,,,4000,常世蟲の龍鱗,4,常世蟲の龍爪,2,常世蟲の龍核,1,鉱石の塊,10
16M,イシコリドメ,殴打,1300,,0,0,納刀強化・守 10%,[獣道皆伝]鷹の目 10%,,4,展開痛打 6%,,,4000,常世蟲の龍枝,4,常世蟲の龍尾,4,常世蟲の龍核,1,鉱石の塊,10
17B,天地粉砕,斬撃,1050,,0,25,展開痛打 15%,会心連鎖 20%,,4,展開錬磨,,,5000,火具土の硬牙,1,火具土の噴管,4,火具土の極溶岩,1,鉱石の塊,10
17L,極槌 獣潰し,殴打,760,火,1040,5,一点集中 30%,炎上使い 10%,,5,,,,5000,火具土の硬爪,3,火具土の噴管,3,火具土の硬尻尾,4,芯石,18
