座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
11E,金烏の機爪,斬撃,162,風,96,10,受け身術,剛腕・糸 +12,,4,会心連鎖 12%,,,2000,白纏の鋭翼,3,白纏の宝珠,3,芯石,15,,
11G,山茶花の剛爪,斬撃,246,,,10,受け身術,[活人]剛腕・癒 +100,,4,[活人]一気呵成・会心 30%,,,2000,鬼鶏冠の咲冠,4,鬼鶏冠の鋭爪,4,巨獣の花弁,5,大きな鉱石,2
11H,はりがねの鉤爪,斬撃,273,,0,0,睡眠使い 10%,,,4,会心強化・攻 4%,,,2000,笠宿子の皮,4,笠宿の肉厚柄,3,笠宿の髭,2,鉱石,10
11J,たけやまの彩爪,斬撃,171,樹,96,5,[活人皆伝]剛腕・躰 20%,,,4,一笠一杖 12%,,,2000,笠宿の硬牙,4,笠宿の肉厚柄,4,笠宿の髭,2,鉱石,10
11K,吾妻の剛爪・弐,斬撃,228,,0,0,糸好き +1,剛腕・糸 +12,,4,破壊術 15%,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
11M,藍瑠璃の獄爪,斬撃,176,火,144,20,炎上使い 10%,,,4,奮起 9%,,,2000,浄土猿の牙,3,浄土猿の皮,5,浄土猿の熱溶岩,3,大きな鉱石,6
11O,鳳爪 比翼連理,斬撃,332,,0,0,からくり連携・癒 +20,,,4,霞落とし 6%,,,2000,天照守の背幹,3,天照守の魔角,2,天照守の魔嘴,1,大きな鉱石,2
11Q,此岸の双牙,斬撃,228,土,120,0,からくり連携・癒 +20,巧手の妙・攻 10%,,4,空中自在 10%,,,2000,彼岸走の花爪,2,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石の塊,4
12A,水仙の双牙,斬撃,219,水,120,0,空中自在 30%,爪蔓の達人 30%,,4,巧手の妙・攻 6%,,,2000,彼岸走の花角,3,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石,9
12C,天狼爪 風花,斬撃,256,,0,25,[活人]一気呵成・会心 40%,,,4,会心の達人 5%,,,2000,羅雪の凍氷柱,4,羅雪の流氷尾,2,巨獣の光粉,5, 大きな鉱石,4
12E,夜啼きの機爪,斬撃,212,風,120,0,爪蔓強化・攻 30%,機術の体幹 12%,,4,余裕 3%,,,2000,黒纏の爪,3,黒纏の鋭翼,1,黒纏の長尾羽,3,鉱石,5
12G,月下の影爪,斬撃,248,,0,10,毒使い 10%,飛戦の技 8%,,4,間合術・守 10%,,,2000,黒纏の皮,3,黒纏の猛毒岩肺,2,黒纏のあばら岩,1,鉱石,5
12H,凍晶削り,刺突,332,,0,5,破壊術 40%,,,4,疾風怒涛・躰 16%,,,2000,城穿槌の尖氷樹,2,城穿槌の尻尾,3,城穿槌の蹄,2,鉱石,5
12J,空刀 アマツヒ,斬撃,213,樹,120,0,巧手の妙・攻 10%,,,4,追い討ち 8%,,,2000,天照守の樹皮,4,天照守の魔爪,4,巨獣の精油,5,大きな鉱石,2
12K,猩々緋の剛爪・弐,斬撃,360,,0,0,飛鳥の守護 15%,[獣道皆伝]報復 20%,,4,剛腕・心 6%,,,2000,地獄猿の鋭牙,5,地獄猿の皮,3,カニの苔藻,5,鉱石の塊,5
12M,獄爪 紫燐火,斬撃,254,火,144,0,天運 10%,,,4,爪蔓の達人 15%,,,2000,浄土猿の熱溶岩,2,浄土猿の硬尻尾,2,巨獣の煤炭,5,芯石,20
12O,珪砂抉り,斬撃,335,,0,20,機術の体幹 15%,,,4,爪蔓強化・攻 12%,,,2000,地鳴荒の岩爪,2,地鳴荒の針棘,2,地鳴荒の尻尾,3,大きな鉱石,8
12Q,瑪瑙の三日月,斬撃,231,土,120,0,納刀強化・守 10%,納刀術 50%,,4,空中自在 10%,,,2000,地鳴荒の岩牙,2,地鳴荒の尻尾,2,地鳴荒の棘皮,1,鉱石,20
13B,垂氷の彩爪,斬撃,252,水,168,0,受け身術,切り出し上手,,4,見切りの極意 5%,,,3000,城穿槌の冷牙,5,城穿槌の角,4,巨獣の玉石,3,芯石,20
13F,嵐爪 鎌鼬,斬撃,390,,0,5,機術の回収,飛戦の技 8%,,4,からくり連携・癒 6%,,,4000,嵐金の天衣,2,嵐金の黄金爪,4,嵐金の黄金髭,1,鉱石の塊,6
13I,凍晶削り・弐,刺突,248,樹,168,0,宿り木使い 10%,[活人皆伝]仲間思い,,4,[活人皆伝]剛腕・守 38%,,,3000,城穿槌の冷牙,3,城穿槌の尖氷樹,2,飼い獣の緋胞子,4,鉱石の塊,4
13L,焔爪 婆娑婆娑,斬撃,390,,0,5,飛翔撃・破 30%,飛翔撃・攻 5%,,4,飛戦の技 7%,,,4000,不知火の焔冠,4,不知火の焔爪,5,不知火の焔嘴,1,鉱石の塊,6
13P,瑪瑙の三日月・弐,斬撃,252,土,120,0,剛腕・心 20%,[獣道]捲土重来・守 10%,,4,[獣道皆伝]捨て身 15%,,,3000,地鳴荒の針棘,2,地鳴荒の岩牙,2,地鳴荒の棘皮,1,鉱石の塊,20
14A,燕爪 花鳥風月・伍,斬撃,345,,0,0,目利き 10%,採取術 10%,,4,操爪の達人,,,2000,飼い獣の尾羽,4,ワタムシの綿毛,3,カガチの浮き胞,6,大きな鉱石,15
14B,霜爪 吹雪舞,斬撃,231,水,168,5,凍結使い 10%,会心連鎖 20%,,4,会心強化・攻 4%,,,3000,羅雪の冷毛,3,羅雪の冷牙,2,羅雪の不凍水,2,大きな鉱石,4
14F,嵐爪 鎌鼬・弐,斬撃,270,風,160,0,疾風怒涛・攻 20%,掴み上手 13%,,4,反転攻勢 5%,,,4000,嵐金の剛皮,3,嵐金の尻尾,4,嵐金の黄金髭,1,鉱石の塊,6
14I,空刀 アマツヒ・弐,斬撃,252,樹,168,0,操爪の達人,回復強化 20%,,4,からくり連携・攻 6%,,,3000,天照守の樹皮,4,天照守の魔羽,2,巨獣の精油,10,大きな鉱石,5
14L,炎雀爪 ヤギハヤ,斬撃,274,火,168,0,空中自在 30%,霞落とし 10%,,4,[活人]威風ノ構 10%,,,4000,不知火の翼羽,4,不知火の尾羽,4,不知火の焔嘴,1,鉱石の塊,6
14P,獄爪 羅生門,斬撃,254,土,168,0,からくり連携・攻 10%,飛戦の技 8%,,4,再利用 15%,,,3000,浄土猿の熱溶岩,2,浄土猿の髭,1,巨獣の煤炭,5,鉱石の塊,2
16E,タケミナカタ,斬撃,390,,0,0,追い討ち 25%,[活人皆伝]一寸の光陰 30%,,4,疾風怒涛・攻 8%,,,4000,常世蟲の龍鱗,4,常世蟲の龍爪,2,常世蟲の龍核,1,鉱石の塊,10
16M,ミナカタトミ,斬撃,290,,0,0,飛鳥の守護 15%,[獣道皆伝]鷹の目 10%,,4,疾風怒涛・攻 8%,,,4000,常世蟲の龍枝,4,常世蟲の龍尾,4,常世蟲の龍核,1,鉱石の塊,10
17B,天地落星,斬撃,315,,0,25,飛翔撃・破 30%,会心連鎖 20%,,4,操爪の達人,,,5000,火具土の硬牙,1,火具土の噴管,4,火具土の極溶岩,1,鉱石の塊,10
17L,極刀 獣斬り,斬撃,228,火,312,5,炎上使い 10%,霞落とし 10%,,5,,,,5000,火具土の硬爪,3,火具土の噴管,3,火具土の硬尻尾,4,芯石,18
