座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
4K,獄弓 石楠花,刺突,74,火,56,0,韋駄天  5%,,,2,ながら飲み 17%,,,300,地獄猿の牙,1,地獄猿の泥石,1,芯石,6,,
4M,砂紋の大弓,刺突,111,,0,-10,早飲み 25%,,,1,早引き 30%,再利用 10%,,300,砂鼓の狸袋,1,砂鼓の鉄塊,1,青石,3,芯石,4
4O,磊弓 震天動地,刺突,78,土,56,0,受身上手 13%,,,2,土の弱体術 2%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
4Q,木子の梓弓,刺突,164,,0,0,回避の達人 8%,,,2,奮起 6%,,,600,笠宿子の牙,2,笠宿子の爪,2,芯石,6,,
5A,雨氷の剛弓,刺突,118,水,84,0,剛腕・糸 +6,,,3,受身上手 13%,,,600,城穿槌の牙,3,城穿槌の氷樹,2,芯石,10,,
5G,沙羅の一張弓・弐,刺突,95,風,84,0,飛鳥の守護 8%,,,3,からくり連携・攻 4%,,,300,姫鶏冠の頭冠,5,姫鶏冠の爪,5,鏡石,4,鉱石,4
5H,くさびらの彩弓,刺突,93,樹,84,0,仁王立ち 25%,,,2,奇襲 40%,からくり連携・攻 4%,,600,笠宿子の牙,3,笠宿子の肉柄,2,芯石,6,,
5J,白樹の剛弓・参,刺突,105,,0,0,仁王立ち 25%,,,2,樹の弱体術 2%,,,100,琥珀主の葉髭,5,琥珀主の硬液,5,光石,2,芯石,10
5K,獄弓 石楠花・弐,刺突,105,火,84,0,掴み上手 7%,,,3,[獣道皆伝]虎穴の猛攻 5%,,,300,地獄猿の泥石,1,地獄猿の尻尾,1,子ザルの臓石,3,芯石,20
5M,砂紋の大弓・参,刺突,130,,0,-10,滞空姿勢 25%,,,3,火の弱体術 2%,,,300,砂鼓の爪,2,砂鼓の尻尾,2,鏡石,3,鉱石,4
5O,鬼薄の重藤弓,刺突,96,土,84,0,切り出し上手,,,3,軽功転戦 10%,,,600,屍荒の棘毛,2,屍荒の牙,3,屍荒の尻尾,3,芯石,6
6A,天狼弓,刺突,161,水,112,5,速射の達人,,,4,残心 +2,,,1000,羅雪の牙,2,羅雪の氷柱,4,羅雪の氷尾,2,芯石,12
6C,凍弓 真神撃ち,斬撃,165,,0,25,[活人]一気呵成・会心 20%,,,4,会心強化・攻 2%,,,1000,羅雪の爪,2,羅雪の氷柱,4,巨獣の光粉,1,芯石,12
6D,鋭石の弓・参,刺突,123,,0,0,剛腕・糸 +6,,,4,,,,300,鏡石,1,芯石,10,,,,
6E,宵闇の牙弓,刺突,134,,0,10,毒使い 5%,,,3,霞落とし 4%,,,600,黒纏の嘴,2,黒纏の毒岩肺,2,芯石,8,,
6G,十六夜の機弓,刺突,97,風,84,0,番えの妙 60%,,,3,死中の攻勢 10%,,,600,黒纏の皮,1,黒纏の爪,2,鉱石,2,,
6H,蔦若葉の剛弓・弐,刺突,97,樹,84,0,剛腕・心 10%,,,3,機術の体幹 10%,,,300,山穿槌の毛,3,山穿槌の草棘,5,フクロウの飛骨,2,鉱石,5
6J,落氷穿ち,刺突,175,,0,5,[活人皆伝]剛腕・守 25%,,,3,[活人]蘇生ノ構,,,600,城穿槌の牙,3,城穿槌の尻尾,3,芯石,10,,
6K,埋れ火の剛弓,刺突,119,火,84,-10,余裕 4%,,,3,速射の達人 8%,,,600,浄土猿の牙,2,浄土猿の皮,2,鉱石,10,,
6M,八島の石弓,刺突,117,,0,-20,執り弓,,,2,破壊術 15%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
6N,鋭石の弓・肆,刺突,126,,0,0,剛腕・糸 +6,,,4,,,,300,光石,1,芯石,10,,,,
6O,獄弓 蒼仙花,刺突,117,土,84,0,奮起 10%,,,3,執り弓,,,600,浄土猿の溶岩,3,浄土猿の尻尾,2,巨獣の煤炭,3,芯石,20
6Q,瑠璃の梓弓,刺突,166,,0,10,[獣道]一気呵成・攻 15%,,,3,会心連鎖 8%,,,600,屍荒の爪,2,屍荒の棘毛,3,屍荒の尻尾,3,芯石,6
8B,戦弓 花鳥風月,刺突,194,,0,5,,,,4,会心の達人 5%,,,1000,大きな鱗,5,小獣の甲皮,4,鉱石,5,,
8D,戦弓 花鳥風月・弐,刺突,189,,0,0,,,,5,,,,1000,碧柱鉱,3,芯石,10,鉱石,6,,
8F,薫風の彩弓,刺突,193,,0,5,,,,4,会心強化・攻 4%,,,1000,カガチの浮き胞,2,珊瑚の欠片,5,芯石,10,,
8I,戦弓 雪月花,刺突,193,,0,5,,,,4,猛攻 +3,,,1000,天魔石,2,芯石,10,鉱石,6,,
8L,枯木の彩弓,刺突,193,,0,5,,,,4,会心強化・攻 4%,,,1000,小獣の被膜,3,鋭利な鱗,3,芯石,10,,
8N,戦弓 花鳥風月・参,刺突,190,,0,0,,,,5,,,,1000,黄鉄鉱,3,芯石,10,鉱石,6,,
8P,戦弓 花鳥風月・肆,刺突,192,,0,0,,,,4,会心の達人 5%,,,1000,鋭利な鱗,3,天魔石,3,鉱石,5,,
9A,飛倉の機弓,刺突,172,水,112,0,軽功転戦 15%,[獣道皆伝]好戦・攻 10%,,4,[獣道皆伝]鷹の目 5%,,,1000,角走の溢滴石,4,角走の被膜,1,芯石,15,大きな鉱石,2
9C,黒金穿ち・弐,刺突,245,,0,0,[獣道皆伝]好戦・攻 10%,納刀術 50%,,4,火の弱体術 3%,,,1000,砂鼓の狸袋,3,砂鼓の硬鉄塊,2,碧柱鉱,3,大きな鉱石,4
9E,夏椿の一張弓,刺突,179,風,112,0,見切りの極意 10%,飛鳥の守護 15%,,4,からくり連携・癒 +3,,,1000,姫鶏冠の山冠,3,姫鶏冠の嘴,2,巨獣の花弁,4,鉱石,9
9G,金烏の機弓,刺突,228,,0,5,回避の達人 15%,掴み上手 13%,,4,会心連鎖 12%,,,2000,白纏の鋭翼,3,白纏の宝珠,3,芯石,15,,
9H,紅梅の梓弓,刺突,209,,0,0,回避の達人 15%,,,4,土の弱体術 3%,,,1000,花宿の硬牙,3,花宿の髭,2,巨獣の花弁,3,鉱石,6
9J,蔦葛の剛弓,刺突,175,樹,112,0,宿り木使い 10%,,,4,追い討ち 8%,,,1000,山穿槌の尖牙,2,山穿槌の莾棘,5,山穿槌の蹄,2,鉱石,7
9K,黒金穿ち,刺突,238,,0,-10,糸好き +1,見切りの極意 10%,,4,風の弱体術 3%,,,1000,砂鼓の厚牙,3,砂鼓の硬鉄塊,2,砂鼓の腹皮,2,芯石,15
9M,猩々緋の獄弓,刺突,205,火,140,0,炎上使い 10%,,,4,余裕 3%,,,2000,地獄猿の灼岩石,4,地獄猿の長尻尾,1,地獄猿の荒髭,2,鉱石の塊,5
9O,はりがねの梓弓,刺突,315,,0,0,睡眠使い 10%,,,4,会心強化・攻 4%,,,2000,笠宿子の皮,4,笠宿の肉厚柄,3,笠宿の髭,2,鉱石,10
9Q,磊弓 神蘺,刺突,189,土,112,0,受身上手 25%,,,4,受け身術,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10C,飛倉の機弓・弐,刺突,277,,0,0,糸好き +1,機術の体幹 12%,,4,韋駄天 4%,,,1000,角走の鋭角,5,角走の飛膜,1,飼い獣の輝殻,4,鉱石の塊,4
10E,羽抜の機弓,刺突,176,風,117,0,受け身術,飛鳥の守護 15%,,4,射法の極 10%,,,1000,姫鶏冠の皮,2,姫鶏冠の鋭爪,3,姫鶏冠の尾羽,4,大きな鉱石,4
10G,幻日の牙弓,刺突,283,,0,5,射法の極 20%,毒使い 10%,,4,水の弱体術 3%,,,2000,白纏の尖嘴,3,白纏の長尾羽,2,白纏の鋭爪,1,芯石,15
10H,琥珀の剛弓,刺突,250,,0,0,[獣道]闘志 10%,,,4,[獣道]一気呵成・攻 18%,,,1000,琥珀主の叢髭,2,琥珀主の輝硬液,5,琥珀主の爪,2,大きな鉱石,2
10K,吾妻の石弓,刺突,281,,0,-20,睡眠使い 10%,掴み上手 13%,,4,機術の回収,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10O,嶺颪の梓弓,刺突,310,,0,10,天運 10%,,,4,樹の弱体術 3%,,,2000,屍荒の爪,4,屍荒の長尻尾,3,屍荒の棘皮,2,鉱石,10
10Q,山荒の重藤弓,刺突,207,土,112,0,破壊術 40%,巧手の妙・攻 10%,,4,韋駄天 4%,,,2000,屍荒の鋭棘毛,3,屍荒の棘皮,2,巨獣の玉石,3,鉱石,10
11C,此岸斬り,刺突,370,水,200,0,切り出し上手,剛腕・糸 +12,,4,巧手の妙・攻 6%,,,2000,彼岸走の花爪,2,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石の塊,4
11E,山茶花の機弓,刺突,191,風,112,0,剛腕・糸 20%,巧手の妙・攻 10%,,4,番えの妙 40%,,,2000,鬼鶏冠の咲冠,3,鬼鶏冠の尾羽,4,鬼鶏冠の花嘴,2,大きな鉱石,2
11G,八咫の牙弓,刺突,283,,0,10,追い討ち 25%,霞落とし 10%,,4,破獣の嚆矢 5%,,,2000,白纏の長尾羽,2,白纏の宝珠,3,巨獣の玉石,5,大きな鉱石,5
11H,寒椿の一張弓,刺突,257,,0,10,会心連鎖 20%,[活人]剛腕・癒 +100,,4,[活人]一気呵成・会心 30%,,,2000,鬼鶏冠の咲冠,4,鬼鶏冠の鋭爪,4,巨獣の花弁,5,大きな鉱石,2
11J,たけやまの彩弓,刺突,200,樹,112,5,[活人皆伝]剛腕・躰 20%,,,4,一笠一杖 12%,,,2000,笠宿の硬牙,4,笠宿の肉厚柄,4,笠宿の髭,2,鉱石,10
11K,吾妻の石弓・弐,刺突,266,,0,0,剛腕・糸 +12,受身上手 25%,,4,破壊術 15%,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
11O,鳳弓 千矢如雨,刺突,370,,0,5,破獣の嚆矢 20%,からくり連携・癒 +20,,4,会心強化・攻 4%,,,2000,天照守の背幹,3,天照守の魔角,2,天照守の魔嘴,1,大きな鉱石,2
12A,水仙の塗弓,刺突,248,水,140,0,凍結使い 10%,,,4,早引き 45%,,,2000,彼岸走の花角,3,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石,9
12C,天狼弓 細雪,斬撃,300,,0,25,[活人]一気呵成・会心 40%,,,4,速射の達人,,,2000,羅雪の凍氷柱,4,羅雪の流氷尾,2,巨獣の光粉,5, 大きな鉱石,4
12E,夜啼きの機弓,刺突,245,風,140,0,絞りの技 20%,回復強化 20%,,4,余裕 3%,,,2000,黒纏の爪,3,黒纏の鋭翼,1,黒纏の長尾羽,3,鉱石,5
12G,月下の牙弓,刺突,293,,0,10,破獣の嚆矢 20%,毒使い 10%,,4,霞落とし 6%,,,2000,黒纏の皮,3,黒纏の猛毒岩肺,2,黒纏のあばら岩,1,鉱石,5
12H,凍晶穿ち,刺突,387,,0,5,受け身術,納刀術 50%,,4,糸好き +1,,,2000,城穿槌の尖氷樹,2,城穿槌の尻尾,3,城穿槌の蹄,2,鉱石,5
12J,空弓 ナガバナリ,刺突,250,樹,140,0,からくり連携・癒 +20,,,4,追い討ち 8%,,,2000,天照守の樹皮,4,天照守の魔爪,4,巨獣の精油,5,大きな鉱石,2
12K,猩々緋の獄弓・弐,刺突,420,,0,0,[獣道皆伝]報復 20%,,,4,剛腕・心 6%,,,2000,地獄猿の鋭牙,5,地獄猿の皮,3,カニの苔藻,5,鉱石の塊,5
12M,藍瑠璃の獄弓,刺突,205,火,168,20,炎上使い 10%,,,4,奮起 9%,,,2000,浄土猿の牙,3,浄土猿の皮,5,浄土猿の熱溶岩,3,大きな鉱石,6
12O,珪砂の梓弓,刺突,390,,0,20,機術の体幹 15%,,,4,射法の極 10%,,,2000,地鳴荒の岩爪,2,地鳴荒の針棘,2,地鳴荒の尻尾,3,大きな鉱石,8
12Q,瑪瑙の重藤弓,刺突,270,土,140,0,霞落とし 10%,納刀強化・守 10%,,4,破獣の嚆矢 5%,,,2000,地鳴荒の岩牙,2,地鳴荒の尻尾,2,地鳴荒の棘皮,1,鉱石,20
13B,垂氷の剛弓,刺突,294,水,196,0,執り弓,受け身術,,4,見切りの極意 5%,,,3000,城穿槌の冷牙,5,城穿槌の角,4,巨獣の玉石,3,芯石,20
13F,嵐弓 韋駄天,刺突,455,,0,5,射法の極 20%,機術の回収,,4,破獣の嚆矢 5%,,,4000,嵐金の天衣,2,嵐金の黄金爪,4,嵐金の黄金髭,1,鉱石の塊,6
13I,鳳弓 猛射如嵐,刺突,391,,0,5,破獣の嚆矢 20%,霞落とし 10%,,4,からくり連携・攻 6%,,,3000,天照守の魔角,2,天照守の魔爪,3,天照守の魔尾,2,大きな鉱石,4
13L,焔弓 精衛,刺突,462,,0,0,速射の達人,水月の鋒矢,,4,[活人]威風ノ構,,,4000,不知火の焔冠,4,不知火の焔爪,5,不知火の焔嘴,1,鉱石の塊,6
13P,瑪瑙の重藤弓・弐,刺突,293,土,196,0,剛腕・心 20%,[獣道]捲土重来・守 10%,,4,[獣道皆伝]捨て身 15%,,,3000,地鳴荒の針棘,2,地鳴荒の岩牙,2,地鳴荒の棘皮,1,鉱石の塊,8
14A,戦弓 花鳥風月・伍,刺突,403,,0,0,目利き 10%,採取術 10%,,4,早引き 45%,,,2000,飼い獣の尾羽,4,ワタムシの綿毛,3,カガチの浮き胞,6,大きな鉱石,15
14B,霜弓 吹雪弦,刺突,270,水,196,5,凍結使い 10%,会心連鎖 20%,,4,絞りの技 12%,,,3000,羅雪の冷毛,3,羅雪の冷牙,2,羅雪の不凍水,2,大きな鉱石,4
14F,嵐弓 韋駄天・弐,刺突,315,風,196,0,執り弓,深矢,,4,[獣道]反転攻勢 5%,,,4000,嵐金の剛皮,3,嵐金の尻尾,4,嵐金の黄金髭,1,鉱石の塊,6
14I,凍晶穿ち・弐,刺突,294,樹,196,0,宿り木使い 10%,[活人皆伝]仲間思い,,4,[活人皆伝]剛腕・守 38%,,,3000,城穿槌の冷牙,3,城穿槌の尖氷樹,2,飼い獣の緋胞子,4,鉱石の塊,4
14L,炎雀弓 ホムスビ,刺突,315,火,196,5,回復強化 20%,からくり連携・癒 +20,,4,執り弓,,,4000,不知火の翼羽,4,不知火の尾羽,4,不知火の焔嘴,1,鉱石の塊,6
14P,獄弓 羅生門,刺突,298,土,196,0,速射の達人,からくり連携・攻 10%,,4,再利用 15%,,,3000,浄土猿の熱溶岩,2,浄土猿の髭,1,巨獣の煤炭,5,鉱石の塊,2
16E,アメノマカコユミ,刺突,455,,0,0,追い討ち 25%,[活人皆伝]一寸の光陰 30%,,4,深矢,,,4000,常世蟲の龍鱗,4,常世蟲の龍爪,2,常世蟲の龍核,1,鉱石の塊,10
16F,妖弓 よしの,刺突,266,風,364,0,宿り木使い 10%,風の弱体術 5%,,5,,,,5000,叢雲の櫻爪,3,叢雲の櫻棘,4,叢雲の櫻花,2,桜石,7
16M,アメノハジユミ,刺突,455,,0,0,納刀強化・守 10%,[獣道皆伝]鷹の目 10%,,4,水月の鋒矢,,,4000,常世蟲の龍枝,4,常世蟲の龍尾,4,常世蟲の龍核,1,鉱石の塊,10
17B,天地貫穿,斬撃,368,,0,25,破獣の嚆矢 20%,会心連鎖 20%,,4,深矢,,,5000,火具土の硬牙,1,火具土の噴管,4,火具土の極溶岩,1,鉱石の塊,10
17F,櫻弓 泡沫夢幻,刺突,487,,0,0,巧手の妙・攻 20%,剛腕・糸 +15,,4,速射の達人,,,5000,叢雲の迅紋,2,叢雲の乱毛,2,叢雲の尻尾,3,大きな鉱石,12
17L,極弓 獣撃ち,刺突,266,火,364,5,炎上使い 10%,霞落とし 10%,,5,,,,5000,火具土の硬爪,3,火具土の噴管,3,火具土の硬尻尾,4,芯石,18
