座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
11G,月下の雨傘,刺突,368,,0,10,毒使い 10%,剛腕・糸 +12,,4,会心強化・攻 4%,,,2000,黒纏の皮,3,黒纏の猛毒岩肺,2,黒纏のあばら岩,1,鉱石,5
11H,はりがねの鉄傘,刺突,404,,0,0,睡眠使い 10%,,,4,会心強化・攻 4%,,,2000,笠宿子の皮,4,笠宿の肉厚柄,3,笠宿の髭,2,鉱石,10
11J,たけやまの彩傘,刺突,256,樹,144,5,[活人皆伝]剛腕・躰 20%,,,4,一笠一杖 12%,,,2000,笠宿の硬牙,4,笠宿の肉厚柄,4,笠宿の髭,2,鉱石,10
11K,吾妻の雨傘・弐,刺突,342,,0,0,受け身術,剛腕・糸 +12,,4,破壊術 15%,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
11O,空傘 オオトリ,刺突,495,,,0,巧手の妙・攻 10%,,,4,追い討ち 8%,,,2000,天照守の樹皮,4,天照守の魔爪,4,巨獣の精油,5,大きな鉱石,2
11Q,山荒の機傘,刺突,262,土,144,0,飛鳥の守護 15%,納刀術 50%,,4,韋駄天 4%,,,2000,屍荒の鋭棘毛,3,屍荒の棘皮,2,巨獣の玉石,3,鉱石,10
12A,水仙の手傘,刺突,325,水,180,0,円熟の舞 50%,凍結使い 10%,,4,舞傘・攻 8%,,,2000,彼岸走の花角,3,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石,9
12C,霜傘 吹雪骨,刺突,368,,0,40,回し上手 50%,会心連鎖 20%,,4,受け流しの達人 +2,,,3000,羅雪の冷毛,3,羅雪の冷牙,2,羅雪の不凍水,2,大きな鉱石,4
12E,逢魔の艶傘,刺突,461,,0,10,追い討ち 25%,,,4,回復強化 10%,,,2000,黒纏の尖嘴,3,黒纏のあばら岩,1,巨獣の光粉,5,大きな鉱石,5
12G,夜啼きの彩傘,刺突,317,風,180,0,舞傘・攻 20%,,,4,余裕 3%,,,2000,黒纏の爪,3,黒纏の鋭翼,1,黒纏の長尾羽,3,鉱石,5
12H,凍晶回し,殴打,497,,0,5,[獣道]闘志 10%,,,4,[獣道]一気呵成・攻 18%,,,2000,城穿槌の尖氷樹,2,城穿槌の尻尾,3,城穿槌の蹄,2,鉱石,5
12J,鳳傘 天空輪舞,刺突,324,樹,180,0,からくり連携・癒 +20,,,4,霞落とし 6%,,,2000,天照守の背幹,3,天照守の魔角,2,天照守の魔嘴,1,大きな鉱石,2
12K,猩々緋の獄傘・弐,刺突,540,,0,0,[獣道皆伝]報復 20%,,,4,剛腕・心 6%,,,2000,地獄猿の鋭牙,5,地獄猿の皮,3,カニの苔藻,5,鉱石の塊,5
12M,藍瑠璃の獄傘,刺突,261,火,180,20,炎上使い 10%,,,4,奮起 9%,,,2000,浄土猿の牙,3,浄土猿の皮,5,浄土猿の熱溶岩,3,大きな鉱石,6
12O,珪砂流し,刺突,501,,0,20,機術の体幹 15%,,,4,円熟の舞 30%,,,2000,地鳴荒の岩爪,2,地鳴荒の針棘,2,地鳴荒の尻尾,3,大きな鉱石,8
12Q,瑪瑙の機傘,刺突,342,土,180,0,回復強化 20 %,納刀強化・守 10%,,4,納め傘 28%,,,2000,地鳴荒の岩牙,2,地鳴荒の尻尾,2,地鳴荒の棘皮,1,鉱石,20
13B,垂氷の機傘,刺突,380,水,252,0,自在の受け,受け身術,,4,見切りの極意 5%,,,3000,城穿槌の冷牙,5,城穿槌の角,4,巨獣の玉石,3,芯石,20
13F,嵐弓 嵐三郎,刺突,585,,0,5,受け流し強化・攻 15%,機術の回収,,4,納め傘 28%,,,4000,嵐金の天衣,2,嵐金の黄金爪,4,嵐金の黄金髭,1,鉱石の塊,6
13I,凍晶回し・弐,殴打,270,樹,252,0,宿り木使い 10%,[活人皆伝]仲間思い,,4,[活人皆伝]剛腕・守 38%,,,3000,城穿槌の冷牙,3,城穿槌の尖氷樹,2,飼い獣の緋胞子,4,鉱石の塊,4
13L,焔傘 迦楼羅,刺突,585,,0,0,円熟の舞 50%,受け流し強化・攻 15%,,4,巧手の妙・攻 6%,,,4000,不知火の焔冠,4,不知火の焔爪,5,不知火の焔嘴,1,鉱石の塊,6
13P,波傘 六角岩,刺突,518,,0,0,剛腕・心 20%,[獣道]捲土重来・守 10%,,4,[獣道皆伝]捨て身 15%,,,3000,地鳴荒の針棘,2,地鳴荒の岩牙,2,地鳴荒の棘皮,1,鉱石の塊,8
14A,艶傘 花鳥風月・伍,刺突,518,,0,0,目利き 10%,採取術 10%,,4,早引き 45%,,,2000,飼い獣の尾羽,4,ワタムシの綿毛,3,カガチの浮き胞,6,大きな鉱石,15
14B,天狼傘 綿帽子,刺突,347,水,252,5,凍結使い 10%,[活人]一気呵成・会心,,4,受け流し強化・攻 9%,,,3000,羅雪の凍氷柱,4,羅雪の流氷尾,2,巨獣の光粉,5,大きな鉱石,4
14F,嵐弓 嵐三郎・弐,刺突,405,風,252,0,受け流しの達人 +6,見切りの極意 10%,,4,反転攻勢 5%,,,4000,嵐金の剛皮,3,嵐金の尻尾,4,嵐金の黄金髭,1,鉱石の塊,6
14I,空傘 オオトリ・弐,刺突,378,樹,252,0,回復強化 20%,軽攻転戦 15%,,4,からくり連携・攻 6%,,,2000,天照守の樹皮,4,天照守の魔羽,2,巨獣の精油,10,大きな鉱石,5
14L,炎雀傘 ヒノハヤヒ,刺突,404,火,252,5,連転の舞 30%,霞落とし 10%,,4,[活人]威風ノ構 10%,,,4000,不知火の翼羽,4,不知火の尾羽,4,不知火の焔嘴,1,鉱石の塊,6
14P,獄傘 羅生門,刺突,378,土,252,0,回し上手 50%,からくり連携・攻 10%,,4,再利用 15%,,,3000,浄土猿の熱溶岩,2,浄土猿の髭,1,巨獣の煤炭,5,鉱石の塊,2
16E,アメノサカホコ,刺突,585,,0,0,追い射ち 25%,[活人皆伝]一寸の光陰 30%,,4,連転の舞 11%,,,4000,常世蟲の龍鱗,4,常世蟲の龍爪,2,常世蟲の龍核,1,鉱石の塊,10
16M,コンゴウホウショ,刺突,585,,0,0,納刀強化・守 10%,[獣道皆伝]鷹の目 10%,,4,回し上手 30%,,,4000,常世蟲の龍枝,4,常世蟲の龍尾,4,常世蟲の龍核,1,鉱石の塊,10
17B,天地流転,刺突,450,,0,40,回し上手 50%,会心連鎖 20%,,4,会心強化 8%,,,5000,火具土の硬牙,1,火具土の噴管,4,火具土の極溶岩,1,鉱石の塊,10
17L,極傘 獣流し,刺突,342,火,468,5,受け流し強化・攻 15%,炎上使い 10%,,5,,,,5000,火具土の硬爪,3,火具土の噴管,3,火具土の硬尻尾,4,芯石,18
