座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
6J,落氷薙ぎ,殴打,300,,0,5,[活人皆伝]剛腕・守 25%,,,3,[活人]蘇生ノ構,,,600,城穿槌の牙,3,城穿槌の尻尾,3,芯石,10,,
6K,埋れ火の彩棍,斬撃,204,火,144,0,余裕 4%,,,3,渾身の一撃 4%,,,600,浄土猿の牙,2,浄土猿の皮,2,鉱石,10,,
6M,八島の剛棍,斬撃,298,,0,-20,操棍術・攻 10%,,,2,破壊術 15%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
6N,鋭石の棍・肆,斬撃,216,,0,0,剛腕・糸 +6,,,4,,,,300,光石,1,芯石,10,,,,
6O,鬼薄の彩棍,斬撃,163,土,144,0,切り出し上手,,,3,軽功転戦 10%,,,600,屍荒の棘毛,2,屍荒の牙,3,屍荒の尻尾,3,芯石,6
6Q,獄棍 蒼仙花,殴打,300,,,0,奮起 8%,,,3,操棍術・攻 5%,,,600,浄土猿の溶岩,3,浄土猿の尻尾,2,巨獣の煤炭,3,芯石,20
8B,異棍 花鳥風月,斬撃,328,,0,5,,,,4,会心の達人 5%,,,1000,大きな鱗,5,小獣の甲皮,4,鉱石,5,,
8D,異棍 花鳥風月・弐,斬撃,324,,0,0,,,,5,,,,1000,碧柱鉱,3,芯石,10,鉱石,6,,
8F,薫風の彩棍,斬撃,331,,0,5,,,,4,会心強化・攻 4%,,,1000,カガチの浮き胞,2,珊瑚の欠片,5,芯石,10,,
8I,異棍 雪月花,斬撃,329,,0,5,,,,4,猛攻 +4,,,1000,天魔石,2,芯石,10,鉱石,6,,
8L,枯木の彩棍,斬撃,331,,0,5,,,,4,会心強化・攻 4%,,,1000,小獣の被膜,3,鋭利な鱗,3,芯石,10,,
8N,異棍 花鳥風月・参,斬撃,326,,0,0,,,,5,,,,1000,黄鉄鉱,3,芯石,10,鉱石,6,,
8P,異棍 花鳥風月・肆,斬撃,329,,0,0,,,,4,会心の達人 5%,,,1000,鋭利な鱗,3,天魔石,3,鉱石,5,,
9A,飛倉の機棍,斬撃,294,水,192,0,回避の達人 15%,[獣道皆伝]好戦・攻 10%,,4,[獣道皆伝]鷹の目 5%,,,1000,角走の溢滴石,4,角走の被膜,1,芯石,15,大きな鉱石,2
9C,黒金の暴れ棒・弐,斬撃,426,,0,0,変幻の攻め +1,天運 10%,,4,火の弱体術 15%,,,1000,砂鼓の狸袋,3,砂鼓の硬鉄塊,2,碧柱鉱,3,大きな鉱石,4
9E,夏椿の彩棍,斬撃,300,風,192,0,飛鳥の守護 15%,,,4,からくり連携・癒 +3,,,1000,姫鶏冠の山冠,3,姫鶏冠の嘴,2,巨獣の花弁,4,鉱石,9
9G,幻日の牙棒,斬撃,485,,0,5,千変万化 50%,毒使い 10%,,4,水の弱体術 15%,,,2000,白纏の尖嘴,3,白纏の長尾羽,2,白纏の鋭爪,1,芯石,15
9H,紅梅の彩棒・弐,斬撃,361,,0,0,回避の達人 15%,掴み上手 13%,,4,土の弱体術 15%,,,1000,花宿の爪,2,花宿の熟梅,2,花宿の髭,2,鉱石,6
9J,紅梅の彩棒,斬撃,300,樹,192,0,受け身術,,,4,糸好き +1,,,1000,花宿の硬牙,3,花宿の髭,2,巨獣の花弁,3,鉱石,6
9K,黒金の暴れ棒,斬撃,408,,0,-10,変幻の護り 60%,睡眠使い 10%,,4,機術の回収,,,1000,砂鼓の厚牙,3,砂鼓の硬鉄塊,2,砂鼓の腹皮,2,芯石,15
9M,猩々緋の機刀,斬撃,354,火,240,0,回復強化 20%,炎上使い 10%,,4,余裕 3%,,,2000,地獄猿の灼岩石,4,地獄猿の長尻尾,1,地獄猿の荒髭,2,鉱石の塊,5
9O,嶺颪通し,刺突,527,,0,10,天運 10%,,,4,樹の弱体術 15%,,,2000,屍荒の爪,4,屍荒の長尻尾,3,屍荒の棘皮,2,鉱石,10
9Q,磊棍 千引磐,斬撃,313,土,192,0,受身上手 25%,,,4,受け身術,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10C,飛倉の機棍・弐,斬撃,474,,0,0,糸好き +1,納刀術 50%,,4,韋駄天 4%,,,1000,角走の鋭角,5,角走の飛膜,1,飼い獣の輝殻,4,鉱石の塊,4
10E,山茶花の彩棍,斬撃,324,風,192,0,[活人]剛腕・癒 +100,,,4,[活人]一気呵成・会心 30%,,,2000,鬼鶏冠の咲冠,4,鬼鶏冠の鋭爪,4,巨獣の花弁,5,大きな鉱石,2
10G,八咫の牙棒,斬撃,492,,0,5,変幻の護り 60%,追い討ち 25%,,4,回復強化 10%,,,2000,白纏の長尾羽,2,白纏の宝珠,3,巨獣の玉石,5,大きな鉱石,5
10H,琥珀の戦棍,斬撃,438,,0,0,[獣道]闘志 10%,,,4,[獣道]一気呵成・攻 18%,,,1000,琥珀主の叢髭,2,琥珀主の輝硬液,5,琥珀主の爪,2,大きな鉱石,2
10J,蔦葛の戦棍,斬撃,300,樹,192,0,宿り木使い 10%,,,4,追い討ち 8%,,,1000,山穿槌の尖牙,2,山穿槌の莾棘,5,山穿槌の蹄,2,鉱石,7
10K,吾妻の剛棍,斬撃,478,,0,-20,受け身術,見切りの極意 10%,,4,風の弱体術 15%,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10Q,山荒の彩棍,斬撃,349,土,192,0,納刀術 50%,,,4,韋駄天 4%,,,2000,屍荒の鋭棘毛,3,屍荒の棘皮,2,巨獣の玉石,3,鉱石,10
11C,水仙の機棍,斬撃,632,水,200,0,変幻の攻め +1,切り出し上手,,4,巧手の妙・攻 6%,,,2000,彼岸走の花角,3,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石,9
11E,金烏の乱れ棍,斬撃,324,風,192,5,掴み上手 13%,,,4,会心連鎖 12%,,,2000,白纏の鋭翼,3,白纏の宝珠,3,芯石,15,,
11H,はりがねの機棍,斬撃,538,,0,0,睡眠使い 10%,受身上手 25%,,4,会心強化・攻 4%,,,2000,笠宿子の皮,4,笠宿の肉厚柄,3,笠宿の髭,2,鉱石,10
11J,たけやまの彩棍,斬撃,340,樹,192,5,[活人皆伝]剛腕・躰 20%,,,4,一笠一杖 12%,,,2000,笠宿の硬牙,4,笠宿の肉厚柄,4,笠宿の髭,2,鉱石,10
11K,吾妻の剛棍・弐,斬撃,456,,0,0,軽功転戦 15%,剛腕・糸 +12,,4,破壊術 15%,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
11M,獄刀 羅生門,斬撃,348,火,288,20,納刀強化・守 10%,,,4,会心強化・攻 4%,,,3000,浄土猿の熱溶岩,2,浄土猿の髭,1,巨獣の煤炭,5,鉱石の塊,2
11O,空棍 ニギハヤヒ,斬撃,640,,,0,渾身の一撃 25%,からくり連携・攻 10%,,4,追い討ち 8%,,,2000,天照守の樹皮,4,天照守の魔爪,4,巨獣の精油,5,大きな鉱石,2
11Q,此岸の乱れ棍,斬撃,426,土,240,0,からくり連携・癒 +20,,,4,会心の達人 5%,,,2000,彼岸走の花爪,2,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石の塊,4
12A,此岸の乱れ棍・弐,斬撃,504,水,288,0,凍結使い 10%,,,4,渾身の一撃 6%,,,2000,彼岸走の花爪,2,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石の塊,4
12C,天狼棍 六花,斬撃,414,,0,40,会心連鎖 20%,[活人皆伝]一寸の光陰 30%,,4,奮起 9%,,,2000,羅雪の凍氷柱,4,羅雪の流氷尾,2,巨獣の光粉,5, 大きな鉱石,4
12E,夜啼きの乱れ棍,斬撃,418,風,240,0,渾身の守 50%,,,4,余裕 3%,,,2000,黒纏の爪,3,黒纏の鋭翼,1,黒纏の長尾羽,3,鉱石,5
12G,月下の牙棒,斬撃,501,,0,10,変幻の護り 60%,毒使い 10%,,4,千変万化 17%,,,2000,黒纏の皮,3,黒纏の猛毒岩肺,2,黒纏のあばら岩,1,鉱石,5
12H,凍晶薙ぎ,殴打,658,,0,5,破壊術 40%,,,4,千変万化 17%,,,2000,城穿槌の尖氷樹,2,城穿槌の尻尾,3,城穿槌の蹄,2,鉱石,5
12J,鳳棍 碧羅天衝,斬撃,431,樹,240,0,回復強化 20%,見切りの極意 10%,,4,からくり連携・攻 6%,,,2000,天照守の背幹,3,天照守の魔角,2,天照守の魔嘴,1,大きな鉱石,2
12K,猩々緋の機棍・弐,斬撃,720,,0,0,飛鳥の守護 15%,[獣道皆伝]報復 20%,,4,剛腕・心 6%,,,2000,地獄猿の鋭牙,5,地獄猿の皮,3,カニの苔藻,5,鉱石の塊,5
12M,藍瑠璃の機棍,斬撃,503,火,288,0,炎上使い 10%,機術の体幹 12%,,4,渾身の守 19%,,,2000,浄土猿の牙,3,浄土猿の皮,5,浄土猿の熱溶岩,3,大きな鉱石,6
12O,珪砂通し,刺突,664,,0,20,機術の体幹 12%,,,4,操棍術・攻 8%,,,2000,地鳴荒の岩爪,2,地鳴荒の針棘,2,地鳴荒の尻尾,3,大きな鉱石,8
12Q,瑪瑙の彩棍,斬撃,456,土,240,0,軽功転戦 15%,,,4,千変万化 17%,,,2000,地鳴荒の岩牙,2,地鳴荒の尻尾,2,地鳴荒の棘皮,1,鉱石,20
13B,垂氷の剛棍,斬撃,503,水,336,0,回復強化 20%,受け身術,,4,見切りの極意 5%,,,3000,城穿槌の冷牙,5,城穿槌の角,4,巨獣の玉石,3,芯石,20
13F,嵐棍 魯捺羅,斬撃,780,,0,5,千変万化 50%,機術の回収,,4,渾身の守 19%,,,4000,嵐金の天衣,2,嵐金の黄金爪,4,嵐金の黄金髭,1,鉱石の塊,6
13I,空棍 ニギハヤヒ・弐,斬撃,760,,,0,破山巨劔 40%,巧手の妙・攻 10%,,4,霞落とし 6%,,,3000,天照守の樹皮,4,天照守の魔羽,2,巨獣の精油,10,大きな鉱石,5
13L,炎雀棍 ウスサマ,斬撃,780,,,0,操棍術・攻 20%,剛腕・心 20%,,4,破山巨劔 15%,,,4000,不知火の翼羽,4,不知火の尾羽,4,不知火の焔嘴,1,鉱石の塊,6
13P,獄刀 紫燐火,殴打,660,,,0,霞落とし 10%,からくり連携・癒 +20,,4,再利用 15%,,,2000,浄土猿の熱溶岩,2,浄土猿の硬尻尾,2,巨獣の煤炭,5,芯石,20
14A,異棍 花鳥風月・伍,斬撃,690,,0,0,目利き 10%,採取術 10%,,4,変幻の護り 24%,,,2000,飼い獣の尾羽,4,ワタムシの綿毛,3,カガチの浮き胞,6,大きな鉱石,15
14B,霜棍 吹雪掌,斬撃,462,水,336,5,凍結使い 10%,機術の体幹 12%,,4,操棍術・攻 8%,,,3000,羅雪の冷毛,3,羅雪の冷牙,2,羅雪の不凍水,2,大きな鉱石,4
14F,嵐棍 魯捺羅・弐,斬撃,540,風,336,0,追い討ち 25%,[獣道]捲土重来・守 10%,,4,[獣道]反転攻勢 5%,,,4000,嵐金の剛皮,3,嵐金の尻尾,4,嵐金の黄金髭,1,鉱石の塊,6
14I,凍晶薙ぎ・弐,殴打,504,樹,336,0,宿り木使い 10%,[活人皆伝]仲間思い,,4,[活人皆伝]剛腕・守 38%,,,3000,城穿槌の冷牙,3,城穿槌の尖氷樹,2,飼い獣の緋胞子,4,鉱石の塊,4
14L,焔棍 赤鷺火,斬撃,540,火,336,5,渾身の一撃 10%,渾身の守 50%,,4,[活人]威風ノ構,,,4000,不知火の焔冠,4,不知火の焔爪,5,不知火の焔嘴,1,鉱石の塊,6
14P,瑪瑙の機刀・弐,斬撃,504,土,336,0,剛腕・心 20%,剛腕・糸 +12,,4,[獣道皆伝]捨て身 15%,,,3000,地鳴荒の針棘,2,地鳴荒の岩牙,2,地鳴荒の棘皮,1,鉱石の塊,8
16E,ヤフネククノチ,斬撃,780,,0,0,渾身の一撃 25%,[活人]一気呵成・会心 40%,,4,渾身の一撃 6%,,,4000,常世蟲の龍鱗,4,常世蟲の龍爪,2,常世蟲の龍核,1,鉱石の塊,10
16M,ノヅチノカミ,斬撃,780,,0,0,納刀強化・守 10%,[獣道皆伝]鷹の目 10%,,4,破山巨劔 15%,,,4000,常世蟲の龍枝,4,常世蟲の龍尾,4,常世蟲の龍核,1,鉱石の塊,10
17B,天地一擲,斬撃,588,,0,40,会心連鎖 20%,[活人皆伝]一寸の光陰 30%,,4,会心強化・攻 8%,,,5000,火具土の硬牙,1,火具土の噴管,4,火具土の極溶岩,1,鉱石の塊,10
17L,極棍 獣突き,斬撃,456,火,624,5,操棍術・攻 10%,炎上使い 10%,,5,,,,5000,火具土の硬爪,3,火具土の噴管,3,火具土の硬尻尾,4,芯石,18
